 masa A    
t x y θr ω 
4,533 9,995E-2 -0,259 -68,86 186,6
4,567 0,126 -0,248 -63,13 165,8
4,600 0,149 -0,236 -57,81 123,9
4,633 0,160 -0,228 -54,87 80,4
4,667 0,169 -0,220 -52,45 62,5
4,700 0,176 -0,215 -50,71 41,5
4,733 0,180 -0,212 -49,68 1,4
4,767 0,177 -0,215 -50,61 -46,9
4,800 0,168 -0,221 -52,80 -77,2
4,833 0,157 -0,230 -55,76 -101,3
4,867 0,142 -0,241 -59,56 -132,4
4,900 0,120 -0,252 -64,59 -159,7
4,933 9,423E-2 -0,262 -70,20 -183,0
4,967 6,321E-2 -0,269 -76,79 -203,8
5,000 2,980E-2 -0,274 -83,79 -219,4
5,033 -6,784E-3 -0,275 -91,42 -220,7
5,067 -4,051E-2 -0,271 -98,50 -202,0
5,100 -6,997E-2 -0,263 -104,9 -185,0
5,133 -9,611E-2 -0,253 -110,8 -166,1
5,167 -0,118 -0,242 -116,0 -140,8
5,200 -0,135 -0,232 -120,2 -110,9
5,233 -0,147 -0,223 -123,3 -77,0
5,267 -0,154 -0,217 -125,4 -43,3
5,300 -0,157 -0,214 -126,2 -8,1
5,333 -0,156 -0,215 -125,9 27,3
5,367 -0,150 -0,219 -124,4 63,8
5,400 -0,139 -0,226 -121,6 96,8
5,433 -0,125 -0,235 -118,0 124,3
5,467 -0,106 -0,246 -113,4 144,6
5,500 -8,517E-2 -0,257 -108,3 162,8
5,533 -5,894E-2 -0,266 -102,5 180,4
5,567 -3,004E-2 -0,272 -96,30 195,2
5,600 2,430E-3 -0,274 -89,49 193,6
5,633 3,182E-2 -0,275 -83,39 194,4
5,667 6,444E-2 -0,269 -76,53 190,5
5,700 9,192E-2 -0,262 -70,69 170,3
5,733 0,117 -0,253 -65,18 157,0
5,767 0,139 -0,243 -60,23 130,5
5,800 0,155 -0,234 -56,49 98,1
5,833 0,166 -0,226 -53,68 66,1
5,867 0,173 -0,222 -52,08 
