 masa A    
t x y θr ω 
4,500 4,077E-2 -0,261 -81,14 163,1
4,533 6,589E-2 -0,257 -75,62 152,4
4,567 8,667E-2 -0,251 -70,98 123,7
4,600 0,102 -0,245 -67,37 106,3
4,633 0,117 -0,238 -63,89 101,1
4,667 0,131 -0,233 -60,63 71,6
4,700 0,137 -0,229 -59,12 29,8
4,733 0,139 -0,228 -58,64 2,4
4,767 0,138 -0,229 -58,96 -17,9
4,800 0,135 -0,232 -59,84 -50,2
4,833 0,124 -0,237 -62,30 -93,6
4,867 0,109 -0,246 -66,08 -119,0
4,900 9,087E-2 -0,253 -70,24 -137,4
4,933 6,834E-2 -0,259 -75,24 -144,3
4,967 4,719E-2 -0,264 -79,86 -156,7
5,000 2,011E-2 -0,267 -85,69 -169,9
5,033 -5,515E-3 -0,267 -91,19 -171,9
5,067 -3,315E-2 -0,264 -97,15 -168,7
5,100 -5,728E-2 -0,260 -102,4 -147,8
5,133 -7,759E-2 -0,254 -107,0 -127,7
5,167 -9,466E-2 -0,247 -110,9 -104,9
5,200 -0,107 -0,241 -114,0 -86,3
5,233 -0,118 -0,235 -116,7 -68,2
5,267 -0,126 -0,232 -118,5 
