,masa A,,,,
t,x,y,θr,ω,
3,854,-0,139,-0,236,-120,6,-75,73
3,887,-0,148,-0,231,-122,7,-49,39
3,921,-0,153,-0,228,-123,8,-20,53
3,954,-0,154,-0,227,-124,1,5,819
3,988,-0,151,-0,229,-123,5,52,89
4,021,-0,137,-0,232,-120,5,66,91
4,055,-0,133,-0,239,-119,0,
4,088,,,,
4,122,,,,
4,155,-7,301E-2,-0,261,-105,6,
4,189,-4,996E-2,-0,268,-100,6,152,7
4,222,-2,590E-2,-0,272,-95,45,166,6
4,256,2,566E-3,-0,273,-89,46,179,5
4,289,3,100E-2,-0,271,-83,48,168,8
4,323,5,584E-2,-0,267,-78,21,150,8
4,356,7,783E-2,-0,261,-73,43,141,3
4,390,9,867E-2,-0,254,-68,79,126,9
4,423,0,115,-0,247,-64,97,103,1
4,457,0,128,-0,240,-61,91,81,38
4,490,0,138,-0,235,-59,54,53,93
4,524,0,143,-0,232,-58,32,19,95
4,557,0,144,-0,232,-58,21,-10,41
4,591,0,140,-0,234,-59,01,-42,15
4,624,0,132,-0,238,-61,02,-60,33
4,658,0,124,-0,244,-63,04,-87,08
4,691,0,108,-0,252,-66,83,-125,9
4,725,8,714E-2,-0,259,-71,43,-148,8
4,758,6,266E-2,-0,266,-76,75,-163,9
4,792,3,635E-2,-0,271,-82,36,-174,6
4,825,7,680E-3,-0,273,-88,39,-178,2
4,859,-2,023E-2,-0,273,-94,24,-170,6
4,892,-4,636E-2,-0,269,-99,76,-162,1
4,926,-7,091E-2,-0,264,-105,0,-153,3
4,959,-9,331E-2,-0,257,-110,0,-138,2
4,993,-0,112,-0,249,-114,3,-119,3
5,026,-0,128,-0,242,-117,9,-95,90
5,060,-0,140,-0,236,-120,7,-66,98
5,093,-0,147,-0,232,-122,4,-35,11
5,127,-0,149,-0,230,-123,0,-5,143
5,160,-0,148,-0,230,-122,7,23,46
5,194,-0,143,-0,233,-121,4,51,47
5,228,-0,134,-0,238,-119,3,80,90
5,261,-0,120,-0,245,-116,0,110,4
5,295,-0,102,-0,252,-112,0,126,7
5,328,-8,236E-2,-0,260,-107,6,136,0
5,362,-6,086E-2,-0,266,-102,9,152,2
5,395,-3,534E-2,-0,270,-97,44,163,7
5,429,-9,365E-3,-0,273,-91,97,167,1
5,462,1,759E-2,-0,272,-86,31,166,6
5,496,4,336E-2,-0,270,-80,86,163,0
5,529,6,874E-2,-0,265,-75,44,151,5
5,563,9,011E-2,-0,258,-70,76,122,9
5,596,0,105,-0,251,-67,24,105,6
5,630,0,121,-0,244,-63,72,92,27
5,663,0,132,-0,239,-61,09,64,80
5,697,0,139,-0,235,-59,40,32,40
5,730,0,140,-0,233,-58,93,1,859
5,764,0,139,-0,234,-59,28,-3,995
5,797,0,141,-0,237,-59,20,-32,19
5,831,0,132,-0,242,-61,42,-93,63
5,864,0,113,-0,248,-65,44,-125,0
5,898,9,415E-2,-0,255,-69,75,-137,5
5,931,7,222E-2,-0,262,-74,61,-156,4
5,965,4,635E-2,-0,268,-80,18,-166,3
5,998,2,038E-2,-0,271,-85,70,-168,8
6,032,-6,795E-3,-0,271,-91,43,-168,6
6,065,-3,269E-2,-0,269,-96,93,-170,3
6,099,-6,011E-2,-0,265,-102,8,-162,1
6,132,-8,259E-2,-0,258,-107,7,-131,5
6,166,-9,865E-2,-0,250,-111,6,-111,1
6,199,-0,114,-0,243,-115,1,-111,1
6,233,-0,131,-0,237,-119,0,-88,30
6,266,-0,140,-0,232,-121,0,-49,81
6,300,-0,145,-0,230,-122,3,-19,69
6,333,-0,146,-0,230,-122,3,
