 masa A    
t x y θr ω 
4,133 9,861E-2 -0,195 -63,23 39,6
4,167 0,101 -0,194 -62,41 8,9
4,200 0,101 -0,194 -62,64 -22,7
4,233 9,616E-2 -0,197 -63,93 -49,1
4,267 8,933E-2 -0,200 -65,91 -76,6
4,300 7,814E-2 -0,204 -69,03 -105,7
4,333 6,386E-2 -0,208 -72,96 -126,0
4,367 4,722E-2 -0,212 -77,43 -142,8
4,400 2,828E-2 -0,214 -82,48 -153,9
4,433 8,624E-3 -0,214 -87,70 -156,8
4,467 -1,087E-2 -0,212 -92,93 -167,9
4,500 -3,287E-2 -0,210 -98,89 -162,8
4,533 -5,048E-2 -0,206 -103,8 -131,2
4,567 -6,352E-2 -0,200 -107,6 -102,4
4,600 -7,310E-2 -0,194 -110,6 -88,1
4,633 -8,301E-2 -0,191 -113,5 -71,1
4,667 -8,925E-2 -0,188 -115,3 -31,1
4,700 -9,001E-2 -0,188 -115,6 12,4
4,733 -8,654E-2 -0,190 -114,5 55,4
4,767 -7,750E-2 -0,193 -111,9 91,9
4,800 -6,555E-2 -0,197 -108,4 110,5
4,833 -5,241E-2 -0,202 -104,5 127,3
4,867 -3,619E-2 -0,207 -99,90 146,2
4,900 -1,761E-2 -0,211 -94,77 160,6
4,933 2,978E-3 -0,212 -89,20 163,5
4,967 2,286E-2 -0,213 -83,87 148,7
5,000 4,021E-2 -0,212 -79,28 
